scenario,year,region,bau_emissions_tco2,emissions_tco2,abatement_tco2,abatement_mt,capex_usd,total_cost_usd,annual_capex_usd,annual_opex_usd,annual_new_energy_usd,annual_fuel_savings_usd,elec_demand_mwh,h2_demand_t
shaheen_ncc_h2_rising_decoupled,2032,Yeosu,25771247.357066404,15503931.677122144,8293306.075091693,8.293306075091692,1183470750.0,3690190227.1884384,47338830.0,47338830.0,4071900352.7607174,476387785.57227916,20118476.414125398,876645.0
shaheen_ncc_h2_rising_decoupled,2032,Ulsan,22130929.276215024,15053064.77398902,5361996.150797663,5.361996150797664,782846399.9999999,2242049032.270382,31839359.999999996,30788351.999999996,2573934745.4992113,394513425.22882885,17310809.554865744,540959.9999999999
shaheen_ncc_h2_rising_decoupled,2032,Other,432184.00829651015,369251.46602736256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_decoupled,2033,Daesan,19800108.505871844,11090535.292415533,7308459.375488139,7.308459375488138,1018626874.9999999,3212596875.537803,40745075.0,40745075.0,3548875628.4042187,417768902.8664156,13450231.625382759,768775.0
shaheen_ncc_h2_rising_decoupled,2033,Yeosu,25771247.357066404,15224284.854965802,8333939.539169199,8.333939539169199,1161554625.0,3663369630.848867,46462185.0,46462185.0,4046833046.4211464,476387785.57227916,20118476.414125398,876645.0
shaheen_ncc_h2_rising_decoupled,2033,Ulsan,22130929.276215024,14535491.92926468,5673422.092817153,5.673422092817153,807374749.9999999,2349665484.798848,32812765.999999993,31777213.999999993,2695512268.314942,410436763.51609325,17396005.38262921,570261.9999999999
shaheen_ncc_h2_rising_decoupled,2033,Other,432184.00829651015,361631.5850383282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_decoupled,2034,Daesan,19800108.505871844,10388348.715948146,7874934.76109464,7.87493476109464,1070569499.9999999,3416664192.9516087,42822780.0,42822780.0,3777100151.7308307,446081518.7792219,13602058.692998048,823515.0
shaheen_ncc_h2_rising_decoupled,2034,Yeosu,25771247.357066404,14061172.938521594,9284810.586335458,9.284810586335459,1261660399.9999998,4026767107.1562653,50466415.99999999,50466415.99999999,4450769869.779033,524935594.62276757,20378815.180065736,970508.0
shaheen_ncc_h2_rising_decoupled,2034,Ulsan,22130929.276215024,13960304.39999788,6051128.82697078,6.05112882697078,838391399.9999999,2481208819.0912585,34045703.99999999,33025607.999999993,2842894198.5509324,428756691.45967376,17494246.42638028,605681.9999999999
shaheen_ncc_h2_rising_decoupled,2034,Other,432184.00829651015,354011.7040492937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_decoupled,2035,Daesan,19800108.505871844,8202403.140600833,9955010.98526677,9.95501098526677,1342909050.0,4340232748.9737,53716362.0,53716362.0,4795482667.375365,562682642.4016658,14228572.97631012,1053262.0
shaheen_ncc_h2_rising_decoupled,2035,Yeosu,25771247.357066404,12959294.909943508,10177399.147830697,10.177399147830696,1347835649.9999998,4354555109.6620035,53913425.99999999,53913425.99999999,4816464403.3468,569736145.6847963,20619059.18705699,1057126.0
shaheen_ncc_h2_rising_decoupled,2035,Ulsan,22130929.276215024,13494983.027745591,6317209.492600096,6.317209492600097,852446699.9999999,2561458384.225012,34600187.99999999,33595547.99999999,2934177110.047243,440914461.8222317,17559442.755415082,629188.0
shaheen_ncc_h2_rising_decoupled,2035,Other,432184.00829651015,346391.82306025934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_decoupled,2036,Daesan,19800108.505871844,7805425.954561779,10059137.224327434,10.059137224327435,1316577500.0,4308260856.599633,52663100.0,52663100.0,4765617299.001299,562682642.4016658,14228572.97631012,1053262.0
shaheen_ncc_h2_rising_decoupled,2036,Yeosu,25771247.357066404,12384023.158624612,10282996.541001007,10.282996541001006,1321407499.9999998,4322556762.116348,52856299.99999999,52856299.99999999,4786580307.801146,569736145.6847963,20619059.18705699,1057126.0
